res,hydrophobicity
C,1
F,1
L,1
W,1
V,1
I,1
M,1
H,1
Y,1
A,1
G,0
P,0
N,-1
T,-1
S,-1
R,-1
Q,-1
D,-1
K,-1
E,-1
HOH,0
