efret0,cl_id,pred
0.40396509938502667,A124C,A107C
0.27588488429521785,A124C,A78C
0.2949999999999631,A124C,A78C
0.20608799478637296,A124C,A78C
0.31999999997163153,A124C,A78C
0.20499999993994317,A124C,A78C
0.40782013404109224,A124C,A107C
0.8312798855787937,A124C,A124C
0.5688809057197821,A124C,A124C
0.17261383966749083,A124C,S42C
0.884690959703964,A124C,A124C
0.44500000026642206,A124C,A107C
0.24492068448960266,A124C,A78C
0.43263489993136295,A124C,A107C
0.7767291589148484,A124C,A124C
0.4092439996466123,A124C,A107C
0.1999999999999999,A124C,S42C
0.294999999949172,A124C,A78C
0.324999999939929,A124C,A78C
0.29000000000000037,A124C,A78C
0.30500087811600224,A124C,A78C
0.18497276516101627,A124C,S42C
0.6284717716929514,A124C,A124C
0.8817944286894565,A124C,A124C
0.555000000351781,A124C,A107C
0.12619806846048578,A124C,S42C
0.21499999991605237,A124C,A78C
0.2043149525784917,A124C,A78C
0.8076462690508448,A124C,A124C
0.3349999999896437,A124C,A78C
0.19978487876106493,A124C,S42C
0.6186907469812599,A124C,A124C
0.46711143092213353,A124C,A107C
0.2850000000000198,A124C,A78C
0.5761817764482718,A124C,A124C
0.48051905459900035,A124C,A107C
0.5635801060933826,A124C,A124C
0.7570783993561585,A124C,A124C
0.12070987087455998,A124C,S42C
0.21074141213751887,A124C,A78C
0.21389729634335894,A124C,A78C
0.28493245526814587,A124C,A78C
0.28500103260701726,A124C,A78C
0.25493067104519024,A124C,A78C
0.2249379556429914,A124C,A78C
0.30652918387589506,A124C,A78C
0.8592526053179689,A124C,A124C
0.22500000000001585,A124C,A78C
0.8649306121462912,A124C,A124C
0.26999999995774004,A124C,A78C
0.17210108177973737,A124C,S42C
0.16499999999969822,A124C,S42C
0.4480020029793811,A124C,A107C
0.1222937672354826,A124C,S42C
0.5386825989968826,A124C,A107C
0.7349751346917,A124C,A124C
0.12231058766313208,A124C,S42C
0.1999999999821356,A124C,S42C
0.3213918118802479,A124C,A78C
0.12735512247755956,A124C,S42C
0.45955240749424275,A124C,A107C
0.4247632607659849,A124C,A107C
0.20845106345472972,A124C,A78C
0.4350000000002845,A124C,A107C
0.8649999999984316,A124C,A124C
0.19255522552958726,A124C,S42C
0.1699999999999104,A124C,S42C
0.4649999999984668,A124C,A107C
0.22171782781755406,A124C,A78C
0.43260384026630944,A124C,A107C
0.7450000000698792,A124C,A124C
0.2885165027255023,A124C,A78C
0.2449999999467035,A124C,A78C
0.10626800199486973,A124C,S42C
0.7297491719217114,A124C,A124C
0.13978610080276888,A124C,S42C
0.8500000000079725,A124C,A124C
0.45900728427456683,A124C,A107C
0.5650000000243433,A124C,A124C
0.8892509581875719,A124C,A124C
0.8082198949564735,A124C,A124C
0.7448459978365963,A124C,A124C
0.679254958788317,A124C,A124C
0.3700000000000014,A124C,A107C
0.11342721982720143,A124C,S42C
0.4949980294792789,A124C,A107C
0.4949323783319389,A124C,A107C
0.7849999999388608,A124C,A124C
0.6749308146852868,A124C,A124C
0.23499999999951504,A124C,A78C
0.5348997669398193,A124C,A107C
0.7205965353257167,A124C,A124C
0.46234822305469275,A124C,A107C
0.3098054406286071,A124C,A78C
0.20499999995939241,A124C,A78C
0.14499872882883438,A124C,S42C
0.18999999999999911,A124C,S42C
0.16324285660670412,A124C,S42C
0.29233074278946763,A124C,A78C
0.25534817104371804,A124C,A78C
0.8349999999535908,A124C,A124C
0.49000000000107535,A124C,A107C
0.8049324542765334,A124C,A124C
0.7462331267408904,A124C,A124C
0.17199799063152688,A124C,S42C
0.45112797465519905,A124C,A107C
0.8699999998895137,A124C,A124C
0.683050280386769,A124C,A124C
0.8681024441472952,A124C,A124C
0.18000000000585722,A124C,S42C
0.12419208175411839,A124C,S42C
0.18330630859291308,A124C,S42C
0.4120706740959338,A124C,A107C
0.7699999999999996,A124C,A124C
0.21499763889747506,A124C,A78C
0.4779318890889041,A124C,A107C
0.14503757604602951,A124C,S42C
0.7221536878381408,A124C,A124C
0.2000000000000004,A124C,S42C
0.41273915473360584,A124C,A107C
0.8749999999998812,A124C,A124C
0.7200054555884841,A124C,A124C
0.39000000032852417,A124C,A107C
0.18500017034974922,A124C,S42C
0.8944649311890529,A124C,A124C
0.8592579419309707,A124C,A124C
0.8757807157380237,A124C,A124C
0.22455364424072977,A124C,A78C
0.8350001666353307,A124C,A124C
0.1250001703294441,A124C,S42C
0.1349999999999852,A124C,S42C
0.2299999999999992,A124C,A78C
0.3209517730893704,A124C,A78C
0.6649948148256601,A124C,A124C
0.5654943776321738,A124C,A124C
0.4340124191010887,A124C,A107C
