efret0,cl_id,pred
0.21604460543198017,A124C,A78C
0.3205014118730604,A124C,A78C
0.19948631151070423,A124C,S42C
0.8550000000438034,A124C,A124C
0.3150000011506548,A124C,A78C
0.4735337005797967,A124C,A107C
0.7099999999999987,A124C,A124C
0.7576689721100083,A124C,A124C
0.49928163598330894,A124C,A107C
0.3899999999999997,A124C,A107C
0.4549984243799793,A124C,A107C
0.7558767917158877,A124C,A124C
0.28978551417349724,A124C,A78C
0.64783536719851,A124C,A124C
0.2399999999916581,A124C,A78C
0.6549999999999502,A124C,A124C
0.3101412227634844,A124C,A78C
0.3100000000010956,A124C,A78C
0.3108534028382892,A124C,A78C
0.249218440307832,A124C,A78C
0.1828930744068729,A124C,S42C
0.25499999981206367,A124C,A78C
0.42999999998640837,A124C,A107C
0.3200909047801877,A124C,A78C
0.24601653767087323,A124C,A78C
0.3151294529517225,A124C,A78C
0.1546119114933801,A124C,S42C
0.8441935654026442,A124C,A124C
0.4657257142994325,A124C,A107C
0.18519185103322758,A124C,S42C
0.27073904891835304,A124C,A78C
0.18000000004632896,A124C,S42C
0.26905511455614933,A124C,A78C
0.7194828840578337,A124C,A124C
0.1650018264399645,A124C,S42C
0.6450618905696567,A124C,A124C
0.17499999999998256,A124C,S42C
0.7950000000192581,A124C,A124C
0.7734722444877458,A124C,A124C
0.7741966593029044,A124C,A124C
0.22075074169912023,A124C,A78C
0.30499999998020694,A124C,A78C
0.2273572715176464,A124C,A78C
0.24513530839919567,A124C,A78C
0.6849999999862476,A124C,A124C
0.16384459155235426,A124C,S42C
0.1250006709359686,A124C,S42C
0.6149999999966026,A124C,A124C
0.28735971219843404,A124C,A78C
0.22848283808726294,A124C,A78C
0.24730062217562487,A124C,A78C
0.30697866785449207,A124C,A78C
0.16999999999676257,A124C,S42C
0.12012869417274903,A124C,S42C
0.5600150930746988,A124C,A124C
0.22999999999999957,A124C,A78C
0.4400000000454033,A124C,A107C
0.19111842889662917,A124C,S42C
0.4049999999997496,A124C,A107C
0.17712765011720838,A124C,S42C
0.14188018678097708,A124C,S42C
0.2899999999999994,A124C,A78C
0.24160185754013558,A124C,A78C
0.11606942359932848,A124C,S42C
0.1255979922767221,A124C,S42C
0.22549459783722461,A124C,A78C
0.16075377080996614,A124C,S42C
0.41499918554013543,A124C,A107C
0.17542948625819046,A124C,S42C
0.6690650196384859,A124C,A124C
0.859999999982267,A124C,A124C
0.13804505354143312,A124C,S42C
0.11262130267450453,A124C,S42C
0.5900000000003544,A124C,A124C
0.4849999999914255,A124C,A107C
0.3848085537824017,A124C,A107C
0.8819979816590258,A124C,A124C
0.22978495490647596,A124C,A78C
0.25348728540701826,A124C,A78C
0.3149206956265088,A124C,A78C
0.1954973842549671,A124C,S42C
0.12500392367320035,A124C,S42C
0.7537687704036089,A124C,A124C
0.21485975384008643,A124C,A78C
0.4131504223060445,A124C,A107C
0.7763019140709909,A124C,A124C
0.7049999999394628,A124C,A124C
0.23389998191353817,A124C,A78C
0.10514618176015278,A124C,S42C
0.301480501722355,A124C,A78C
0.7149999999391009,A124C,A124C
0.8522759879966658,A124C,A124C
0.42500000000089644,A124C,A107C
0.4949999999999448,A124C,A107C
0.5902148124745847,A124C,A124C
0.2619995920850485,A124C,A78C
0.20486025261379556,A124C,A78C
0.8790863340348265,A124C,A124C
0.7449999999960206,A124C,A124C
0.31493235900088534,A124C,A78C
0.13924916549372543,A124C,S42C
0.444012600122063,A124C,A107C
0.18454023304102918,A124C,S42C
0.27999999996007957,A124C,A78C
0.7247976232372487,A124C,A124C
0.23499999993898218,A124C,A78C
0.7750000000014289,A124C,A124C
0.19500000000033296,A124C,S42C
0.22315593569117861,A124C,A78C
0.34410006929744363,A124C,A78C
0.2099999999942001,A124C,A78C
0.2590990421099027,A124C,A78C
0.1897686683303505,A124C,S42C
0.12698746197371144,A124C,S42C
0.17253858712600126,A124C,S42C
0.1788924569314005,A124C,S42C
0.16500000001353562,A124C,S42C
0.26246920301658555,A124C,A78C
0.1782777302820779,A124C,S42C
0.5299999999999995,A124C,A107C
0.45999999999999924,A124C,A107C
0.19713889697556597,A124C,S42C
0.5958133163113307,A124C,A124C
0.17819468897247498,A124C,S42C
0.42029856860200837,A124C,A107C
0.1449999999997566,A124C,S42C
0.7730308754169152,A124C,A124C
0.15114704929722433,A124C,S42C
0.5149997305438285,A124C,A107C
0.6349984263418621,A124C,A124C
0.3224313698259419,A124C,A78C
0.11717349989591325,A124C,S42C
0.834833833614282,A124C,A124C
0.34820627588788305,A124C,A78C
0.45987127206199463,A124C,A107C
0.49447722161942154,A124C,A107C
0.19170610460074425,A124C,S42C
0.23112417480860728,A124C,A78C
0.7539746258758832,A124C,A124C
0.16002297827898987,A124C,S42C
0.21978767381731212,A124C,A78C
0.22500225241788843,A124C,A78C
0.12500000000018008,A124C,S42C
0.7350675995941622,A124C,A124C
0.37000000011560413,A124C,A107C
0.7712907487696159,A124C,A124C
0.14749614753108056,A124C,S42C
0.11622920566302293,A124C,S42C
0.5070201265607924,A124C,A107C
0.26397174941159596,A124C,A78C
0.45336010551540856,A124C,A107C
0.19126979068775413,A124C,S42C
0.16207289866858623,A124C,S42C
0.5649999999087014,A124C,A124C
0.30381308318268746,A124C,A78C
0.14999999998702954,A124C,S42C
0.4656000289017622,A124C,A107C
0.15999999997728206,A124C,S42C
0.6150000058544522,A124C,A124C
0.4387316087334577,A124C,A107C
0.3202142538863801,A124C,A78C
0.6149999999909616,A124C,A124C
0.76924680437418,A124C,A124C
0.1751027752970635,A124C,S42C
0.7262442521207604,A124C,A124C
0.16492717430471832,A124C,S42C
0.32000000000993734,A124C,A78C
0.22091720062182071,A124C,A78C
0.13073939839874063,A124C,S42C
0.7949999999391805,A124C,A124C
0.4799999999999994,A124C,A107C
0.2799999999966139,A124C,A78C
0.44029232808939467,A124C,A107C
0.26500000000135865,A124C,A78C
0.10000000000703337,A124C,S42C
0.691905483380946,A124C,A124C
0.46689671431075214,A124C,A107C
0.6450644909316181,A124C,A124C
0.7851192138440386,A124C,A124C
0.6724628350697953,A124C,A124C
0.7550000000001366,A124C,A124C
0.4749999999976184,A124C,A107C
0.28898733935467996,A124C,A78C
0.7917796285691334,A124C,A124C
0.7379771814022676,A124C,A124C
0.1600000000000002,A124C,S42C
0.7599105887395033,A124C,A124C
0.24686616095177166,A124C,A78C
0.12176922940474044,A124C,S42C
0.18519057428544464,A124C,S42C
0.2550692500164023,A124C,A78C
0.46499999999977,A124C,A107C
0.7043986724595259,A124C,A124C
0.6219379689300631,A124C,A124C
0.3250000000358577,A124C,A78C
0.281794419845448,A124C,A78C
0.687318946317666,A124C,A124C
0.42765068898831465,A124C,A107C
0.7550691178801459,A124C,A124C
0.698218471736682,A124C,A124C
0.7522752670232553,A124C,A124C
0.18820231793730877,A124C,S42C
0.2899999999999995,A124C,A78C
0.3250000000015943,A124C,A78C
0.47499999998195624,A124C,A107C
0.2344249552360502,A124C,A78C
0.11624387443434674,A124C,S42C
0.8917479077557843,A124C,A124C
0.3220687635646212,A124C,A78C
0.830751168207822,A124C,A124C
0.6207391890664702,A124C,A124C
0.41880513633569866,A124C,A107C
0.18737221747576757,A124C,S42C
0.16514616378488237,A124C,S42C
0.44506929560056246,A124C,A107C
0.19499849954128012,A124C,S42C
0.7488596466558257,A124C,A124C
0.1799999999987292,A124C,S42C
0.26682405435393153,A124C,A78C
0.426853680830398,A124C,A107C
0.47553779969055604,A124C,A107C
0.7600000000097888,A124C,A124C
0.7307045135683561,A124C,A124C
0.5149999999712166,A124C,A107C
