,pred,counts,frac
321,A124C,79,0.2532051282051282
322,A78C,83,0.266025641025641
323,S42C,87,0.27884615384615385
324,A107C,58,0.1858974358974359
325,A124C,79,0.2532051282051282
326,A78C,93,0.2980769230769231
327,S42C,82,0.26282051282051283
328,A107C,58,0.1858974358974359
329,A124C,81,0.25961538461538464
330,A78C,88,0.28205128205128205
331,S42C,85,0.2724358974358974
332,A107C,58,0.1858974358974359
333,A124C,95,0.30448717948717946
334,A78C,79,0.2532051282051282
335,S42C,80,0.2564102564102564
336,A107C,61,0.1955128205128205
337,A124C,78,0.25
338,A78C,91,0.2916666666666667
339,S42C,82,0.26282051282051283
340,A107C,55,0.1762820512820513
341,A124C,88,0.28205128205128205
342,A78C,85,0.2724358974358974
343,S42C,84,0.2692307692307692
344,A107C,54,0.17307692307692307
345,A124C,82,0.26282051282051283
346,A78C,93,0.2980769230769231
347,S42C,83,0.266025641025641
348,A107C,49,0.15705128205128205
349,A124C,90,0.28846153846153844
350,A78C,90,0.28846153846153844
351,S42C,83,0.266025641025641
352,A107C,73,0.23397435897435898
353,A124C,92,0.2948717948717949
354,A78C,74,0.23717948717948717
355,S42C,73,0.23397435897435898
356,A107C,64,0.20512820512820512
357,A124C,92,0.2948717948717949
358,A78C,90,0.28846153846153844
359,S42C,66,0.21153846153846154
360,A107C,58,0.1858974358974359
361,A124C,91,0.2916666666666667
362,A78C,85,0.2724358974358974
363,S42C,78,0.25
364,A107C,58,0.1858974358974359
365,A124C,86,0.27564102564102566
366,A78C,91,0.2916666666666667
367,S42C,77,0.2467948717948718
368,A107C,56,0.1794871794871795
369,A124C,100,0.32051282051282054
370,A78C,81,0.25961538461538464
371,S42C,75,0.2403846153846154
372,A107C,69,0.22115384615384615
373,A124C,84,0.2692307692307692
374,A78C,84,0.2692307692307692
375,S42C,75,0.2403846153846154
376,A107C,55,0.1762820512820513
377,A124C,83,0.266025641025641
378,A78C,81,0.25961538461538464
379,S42C,93,0.2980769230769231
380,A107C,59,0.1891025641025641
381,A124C,68,0.21794871794871795
382,A78C,97,0.3108974358974359
383,S42C,88,0.28205128205128205
384,A107C,56,0.1794871794871795
385,A124C,95,0.30448717948717946
386,A78C,85,0.2724358974358974
387,S42C,76,0.24358974358974358
388,A107C,66,0.21153846153846154
389,A124C,80,0.2564102564102564
390,A78C,88,0.28205128205128205
391,S42C,78,0.25
392,A107C,54,0.17307692307692307
393,A124C,94,0.30128205128205127
394,A78C,85,0.2724358974358974
395,S42C,79,0.2532051282051282
396,A107C,50,0.16025641025641027
397,A124C,92,0.2948717948717949
398,A78C,84,0.2692307692307692
399,S42C,86,0.27564102564102566
400,A107C,64,0.20512820512820512
401,A124C,85,0.2724358974358974
402,A78C,87,0.27884615384615385
403,S42C,76,0.24358974358974358
404,A107C,54,0.17307692307692307
405,A124C,81,0.25961538461538464
