efret0,cl_id,pred
0.3249999999960297,A124C,A78C
0.26000000000000945,A124C,A78C
0.15147653513107417,A124C,S42C
0.17641046302581997,A124C,S42C
0.3824201755976893,A124C,A107C
0.1687062857026704,A124C,S42C
0.2549999999864049,A124C,A78C
0.4208537567620557,A124C,A107C
0.14669387137170917,A124C,S42C
0.21499818788754313,A124C,A78C
0.49500000000009053,A124C,A107C
0.16499999995112735,A124C,S42C
0.22499990650225818,A124C,A78C
0.2049688484034279,A124C,A78C
0.1950000268689107,A124C,S42C
0.1591568506235942,A124C,S42C
0.25055224383751934,A124C,A78C
0.6349325014564797,A124C,A124C
0.4850000000434899,A124C,A107C
0.21499999993863825,A124C,A78C
0.35500000002049403,A124C,A107C
0.7349981774867711,A124C,A124C
0.14962954255235195,A124C,S42C
0.41999999997296383,A124C,A107C
0.4699999999876243,A124C,A107C
0.6599999999594212,A124C,A124C
0.8581197461113342,A124C,A124C
0.11499874498239167,A124C,S42C
0.2349999999812485,A124C,A78C
0.8225943329511105,A124C,A124C
0.1749999999996919,A124C,S42C
0.46493084425613,A124C,A107C
0.18499999993817082,A124C,S42C
0.7448881121922932,A124C,A124C
0.14815292828345114,A124C,S42C
0.6320956252446465,A124C,A124C
0.2678177648106055,A124C,A78C
0.4181658696545093,A124C,A107C
0.21753134992030518,A124C,A78C
0.27999999999999925,A124C,A78C
0.40747613002283467,A124C,A107C
0.10500000000821982,A124C,S42C
0.4057814860427443,A124C,A107C
0.16000000000000064,A124C,S42C
0.21499999993883914,A124C,A78C
0.15000000000047636,A124C,S42C
0.7452532549470696,A124C,A124C
0.29595692160811743,A124C,A78C
0.23499999993834977,A124C,A78C
0.8850000000000005,A124C,A124C
0.17211544033038478,A124C,S42C
0.10974502903683189,A124C,S42C
0.5368824684315439,A124C,A107C
0.4050004323609929,A124C,A107C
0.12999999996419467,A124C,S42C
0.16401103518836907,A124C,S42C
0.15499999999998237,A124C,S42C
0.4399999999999995,A124C,A107C
0.3450004310490329,A124C,A78C
0.32457624412097663,A124C,A78C
0.3449999999327137,A124C,A78C
0.4750000000296391,A124C,A107C
0.3919658344130414,A124C,A107C
0.1133656775241897,A124C,S42C
0.3049999816912722,A124C,A78C
0.864999999995224,A124C,A124C
0.1645053690320741,A124C,S42C
0.17499999999853078,A124C,S42C
0.19271173583160026,A124C,S42C
0.8783251320724701,A124C,A124C
0.801186946208112,A124C,A124C
0.7349999999374511,A124C,A124C
0.6749999999519314,A124C,A124C
0.32000000000828027,A124C,A78C
0.14324113876905845,A124C,S42C
0.49089447628285254,A124C,A107C
0.14978560569623522,A124C,S42C
0.734999999999669,A124C,A124C
0.16450536396690937,A124C,S42C
0.25555872582763894,A124C,A78C
0.237940744200245,A124C,A78C
0.36191055263698446,A124C,A107C
0.885001179268894,A124C,A124C
